lowercase_basename,count,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
frame_000457s.jpg,2,diyas/batch_001/frame_000457s.jpg,frame_000457s.jpg,diyas,batch_001
frame_000457s.jpg,2,obama/batch_001/frame_000457s.jpg,frame_000457s.jpg,obama,batch_001
frame_000458s.jpg,2,diyas/batch_001/frame_000458s.jpg,frame_000458s.jpg,diyas,batch_001
frame_000458s.jpg,2,obama/batch_001/frame_000458s.jpg,frame_000458s.jpg,obama,batch_001
frame_000459s.jpg,2,diyas/batch_001/frame_000459s.jpg,frame_000459s.jpg,diyas,batch_001
frame_000459s.jpg,2,obama/batch_001/frame_000459s.jpg,frame_000459s.jpg,obama,batch_001
frame_000460s.jpg,2,diyas/batch_001/frame_000460s.jpg,frame_000460s.jpg,diyas,batch_001
frame_000460s.jpg,2,obama/batch_001/frame_000460s.jpg,frame_000460s.jpg,obama,batch_001
frame_000461s.jpg,2,diyas/batch_001/frame_000461s.jpg,frame_000461s.jpg,diyas,batch_001
frame_000461s.jpg,2,obama/batch_001/frame_000461s.jpg,frame_000461s.jpg,obama,batch_001
frame_000462s.jpg,2,diyas/batch_001/frame_000462s.jpg,frame_000462s.jpg,diyas,batch_001
frame_000462s.jpg,2,obama/batch_001/frame_000462s.jpg,frame_000462s.jpg,obama,batch_001
frame_000463s.jpg,2,diyas/batch_001/frame_000463s.jpg,frame_000463s.jpg,diyas,batch_001
frame_000463s.jpg,2,obama/batch_001/frame_000463s.jpg,frame_000463s.jpg,obama,batch_001
frame_000464s.jpg,2,diyas/batch_001/frame_000464s.jpg,frame_000464s.jpg,diyas,batch_001
frame_000464s.jpg,2,obama/batch_001/frame_000464s.jpg,frame_000464s.jpg,obama,batch_001
frame_000465s.jpg,2,diyas/batch_001/frame_000465s.jpg,frame_000465s.jpg,diyas,batch_001
frame_000465s.jpg,2,obama/batch_001/frame_000465s.jpg,frame_000465s.jpg,obama,batch_001
frame_000466s.jpg,2,diyas/batch_001/frame_000466s.jpg,frame_000466s.jpg,diyas,batch_001
frame_000466s.jpg,2,obama/batch_001/frame_000466s.jpg,frame_000466s.jpg,obama,batch_001
frame_000467s.jpg,2,diyas/batch_001/frame_000467s.jpg,frame_000467s.jpg,diyas,batch_001
frame_000467s.jpg,2,obama/batch_001/frame_000467s.jpg,frame_000467s.jpg,obama,batch_001
frame_000468s.jpg,2,diyas/batch_001/frame_000468s.jpg,frame_000468s.jpg,diyas,batch_001
frame_000468s.jpg,2,obama/batch_001/frame_000468s.jpg,frame_000468s.jpg,obama,batch_001
frame_000469s.jpg,2,diyas/batch_001/frame_000469s.jpg,frame_000469s.jpg,diyas,batch_001
frame_000469s.jpg,2,obama/batch_001/frame_000469s.jpg,frame_000469s.jpg,obama,batch_001
frame_000470s.jpg,2,diyas/batch_001/frame_000470s.jpg,frame_000470s.jpg,diyas,batch_001
frame_000470s.jpg,2,obama/batch_001/frame_000470s.jpg,frame_000470s.jpg,obama,batch_001
frame_000471s.jpg,2,diyas/batch_001/frame_000471s.jpg,frame_000471s.jpg,diyas,batch_001
frame_000471s.jpg,2,obama/batch_001/frame_000471s.jpg,frame_000471s.jpg,obama,batch_001
frame_000472s.jpg,2,diyas/batch_001/frame_000472s.jpg,frame_000472s.jpg,diyas,batch_001
